,Algorithm,Accuracy,Precision,Accuracy_tfidf_max_iter=3000,Precision_tfidf_max_iter=3000,Accuracy_tfidf,Precision_tfidf,Accuracy_tfidf_scaled,Precision_tfidf_scaled,Accuracy_tfidf_num_char_scaled,Precision_tfidf_num_char_scaled
0,KN,0.9061895551257253,1.0,0.9052224371373307,1.0,0.9003868471953579,1.0,0.9052224371373307,0.9761904761904762,0.9148936170212766,1.0
1,RF,0.971953578336557,1.0,0.9758220502901354,0.9829059829059829,0.971953578336557,1.0,0.9758220502901354,0.9829059829059829,0.9777562862669246,0.990909090909091
2,ETC,0.97678916827853,0.9913793103448276,0.9748549323017408,0.9745762711864406,0.9729206963249516,0.9824561403508771,0.9748549323017408,0.9745762711864406,0.988394584139265,0.9917355371900827
3,xgb,0.9738878143133463,0.9743589743589743,0.9671179883945842,0.9482758620689655,0.9748549323017408,0.9516129032258065,0.9671179883945842,0.9482758620689655,0.9709864603481625,0.9173553719008265
4,LR,0.9709864603481625,0.9736842105263158,0.9584139264990329,0.9702970297029703,0.9516441005802708,0.94,0.9671179883945842,0.9642857142857143,0.9642166344294004,0.9272727272727272
5,GBDT,0.9439071566731141,0.9444444444444444,0.9468085106382979,0.9191919191919192,0.9526112185686654,0.9238095238095239,0.9468085106382979,0.9191919191919192,0.9564796905222437,0.8981481481481481
6,DT,0.9264990328820116,0.9428571428571428,0.9274661508704062,0.8118811881188119,0.9361702127659575,0.8461538461538461,0.9274661508704062,0.8118811881188119,0.9516441005802708,0.9090909090909091
7,AdaBoost,0.9197292069632496,0.9365079365079365,0.9245647969052224,0.8488372093023255,0.9245647969052224,0.8409090909090909,0.9245647969052224,0.8488372093023255,0.9448742746615088,0.8363636363636363
8,BgC,0.9622823984526112,0.9159663865546218,0.9584139264990329,0.8682170542635659,0.9584139264990329,0.8625954198473282,0.9584139264990329,0.8682170542635659,0.9709864603481625,0.9105691056910569
9,NB,0.9642166344294004,0.8344370860927153,0.9709864603481625,1.0,0.9593810444874274,1.0,0.9787234042553191,0.9461538461538461,0.9825918762088974,1.0
10,SVC,0.9264990328820116,0.7421875,0.9758220502901354,0.9747899159663865,0.9729206963249516,0.9741379310344828,0.9690522243713733,0.9274193548387096,0.988394584139265,0.976
